epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.512,0.86812,3.00437,1.14568,0.32748,0.47138,0.39411,0.29417,0.81696,3.26699,1.08346,0.0003,0.0003,0.0003
2,297.12,0.84005,2.04789,1.13745,0.48354,0.4125,0.49563,0.3655,0.87369,2.85548,1.11284,0.000588245,0.000588245,0.000588245
3,438.344,0.90721,1.84752,1.14592,0.58901,0.62196,0.61714,0.42289,1.03809,2.67161,1.20537,0.00085174,0.00085174,0.00085174
4,586.201,0.94026,1.69282,1.14429,0.57544,0.67418,0.64148,0.46318,0.96859,2.32106,1.15955,0.00109048,0.00109048,0.00109048
5,723.322,0.90279,1.61423,1.14138,0.56344,0.69764,0.68755,0.50259,1.0186,2.34754,1.25627,0.001052,0.001052,0.001052
6,873.7,0.91277,1.46416,1.14427,0.73149,0.63278,0.72953,0.52465,1.00956,2.04216,1.19933,0.0010025,0.0010025,0.0010025
7,1010.82,0.85851,1.39537,1.10667,0.57328,0.77488,0.74553,0.53226,0.97717,2.19349,1.25464,0.000953,0.000953,0.000953
8,1148.65,0.83926,1.29075,1.1094,0.78885,0.75828,0.80322,0.6236,0.87475,1.75933,1.10558,0.0009035,0.0009035,0.0009035
9,1287.17,0.83838,1.2167,1.09527,0.76255,0.73804,0.79804,0.60807,0.93203,1.66322,1.17133,0.000854,0.000854,0.000854
10,1446.71,0.80613,1.13446,1.07341,0.83232,0.6487,0.76066,0.5786,0.85424,1.72123,1.1209,0.0008045,0.0008045,0.0008045
11,1584.1,0.79095,1.1334,1.06144,0.8422,0.87103,0.92006,0.71561,0.79754,1.29271,1.06092,0.000755,0.000755,0.000755
12,1722.1,0.77101,1.02556,1.04848,0.84872,0.8499,0.91371,0.72059,0.80335,1.31235,1.04963,0.0007055,0.0007055,0.0007055
13,1864.88,0.79223,0.99825,1.07386,0.86007,0.85044,0.9104,0.71952,0.82685,1.20503,1.08822,0.000656,0.000656,0.000656
14,2007.43,0.75459,0.93239,1.04072,0.89997,0.8289,0.92103,0.71454,0.8302,1.13994,1.07972,0.0006065,0.0006065,0.0006065
15,4663.33,0.75697,0.91124,1.06856,0.91392,0.8875,0.93991,0.77567,0.71978,1.02245,1.0224,0.000557,0.000557,0.000557
16,4794.58,0.58994,0.99509,0.95688,0.9189,0.77646,0.90597,0.73244,0.72265,1.14565,1.02623,0.0005075,0.0005075,0.0005075
17,4931.03,0.57088,0.92807,0.95572,0.91516,0.85434,0.91954,0.73745,0.75837,1.05128,1.04398,0.000458,0.000458,0.000458
18,5069.74,0.58078,0.87533,0.95282,0.88509,0.81245,0.91088,0.72927,0.75864,1.09276,1.05077,0.0004085,0.0004085,0.0004085
19,5201.56,0.54626,0.87016,0.93947,0.92933,0.88413,0.93763,0.77219,0.69699,0.9416,1.01463,0.000359,0.000359,0.000359
20,5333.32,0.53199,0.82623,0.93128,0.86396,0.85007,0.9225,0.75342,0.72379,1.00563,1.02661,0.0003095,0.0003095,0.0003095
21,5473.62,0.50593,0.76986,0.91839,0.86597,0.85973,0.92371,0.77195,0.68711,0.98597,0.99104,0.00026,0.00026,0.00026
22,5608.34,0.49656,0.72902,0.91689,0.91763,0.86127,0.9521,0.79062,0.68848,0.89367,1.00661,0.0002105,0.0002105,0.0002105
23,5740.32,0.46477,0.69215,0.88425,0.93735,0.90521,0.9649,0.80464,0.678,0.82221,0.99896,0.000161,0.000161,0.000161
24,5871.56,0.45584,0.68848,0.87817,0.91648,0.87146,0.95517,0.79459,0.70672,0.84309,1.02316,0.0001115,0.0001115,0.0001115
25,6005.4,0.43895,0.65144,0.88685,0.92668,0.90455,0.96487,0.81307,0.65104,0.7771,0.99162,6.2e-05,6.2e-05,6.2e-05
